anio,mes,departamento,pais,producto,toneladas,precio
2018,Mayo,Risaralda,Aruba,Café,1.25,9.05
2018,Mayo,Bogotá,Taiwán- Provincia de China,Café,1.53,5.23
2018,Mayo,Tolima,Taiwán- Provincia de China,Café,19.29,57.52
2018,Mayo,Quindío,El Salvador,Café,0.75,10.00
2018,Mayo,Antioquia,España,Café,83.58,262.70
2018,Mayo,Caldas,España,Café,420.70,1288.70
2018,Mayo,Antioquia,Estados Unidos,Café,4627.71,17075.59
2018,Mayo,Bogotá,Estados Unidos,Café,268.62,981.81
2018,Mayo,Caldas,Estados Unidos,Café,5164.00,17599.55
2018,Mayo,Quindío,Estados Unidos,Café,2745.88,8888.73
2018,Mayo,Risaralda,Estados Unidos,Café,2878.09,9051.68
2018,Mayo,Tolima,Estados Unidos,Café,701.11,3419.38
2018,Mayo,Valle del Cauca,Estados Unidos,Café,860.55,3306.72
2018,Mayo,Cundinamarca,Hong Kong,Café,1.94,6.65
2018,Mayo,Tolima,Hong Kong,Café,0.28,1.13
2018,Mayo,Bogotá,Italia,Café,0.95,11.65
2018,Mayo,Bogotá,Nicaragua,Café,0.08,2.94
2018,Mayo,Risaralda,Países Bajos,Café,0.11,0.32
2018,Mayo,Bogotá,Panamá,Café,2.33,22.57
2018,Mayo,Quindío,Perú,Café,1.94,25.19
2018,Mayo,Bogotá,Reino Unido,Café,15.54,51.66
2018,Mayo,Quindío,Reino Unido,Café,175.48,618.49
2018,Mayo,Bogotá,Uruguay,Café,1.57,18.90
2018,Mayo,Caldas,Ecuador,Café,26.15,600.12
2018,Mayo,Magdalena,Alemania,Café,58.14,288.15
2018,Mayo,Santander,Alemania,Café,229.10,714.12
2018,Mayo,Santander,Australia,Café,41.90,122.41
2018,Mayo,Caldas,Bélgica,Café,1778.38,6098.14
2018,Mayo,Magdalena,Bélgica,Café,99.67,384.41
2018,Mayo,Caldas,Canadá,Café,2244.20,6985.47
2018,Mayo,Huila,Canadá,Café,594.56,1904.29
2018,Mayo,Quindío,Canadá,Café,461.98,1606.55
2018,Mayo,Magdalena,Corea,Café,17.48,73.99
2018,Mayo,Cauca,Estados Unidos,Café,785.56,2449.71
2018,Mayo,Cundinamarca,Estados Unidos,Café,326.18,1072.95
2018,Mayo,Huila,Estados Unidos,Café,3041.54,9910.78
2018,Mayo,Magdalena,Estados Unidos,Café,316.67,1089.32
2018,Mayo,Santander,Estados Unidos,Café,1366.31,4248.62
2018,Mayo,Santander,Finlandia,Café,608.87,1886.66
2018,Mayo,Bolívar,Francia,Café,4.03,12.32
2018,Mayo,Magdalena,Francia,Café,37.02,141.19
2018,Mayo,Santander,Otros,Café,38.33,127.25
2018,Mayo,Magdalena,Japón,Café,91.02,349.07
2018,Mayo,Antioquia,Otros,Café,305.96,1261.18
2018,Mayo,Magdalena,México,Café,19.21,74.27
2018,Mayo,Santander,México,Café,19.37,60.69
2018,Mayo,Cesar,Nueva Zelandia,Café,19.29,84.59
2018,Mayo,Magdalena,Nueva Zelandia,Café,39.16,184.29
2018,Mayo,Antioquia,Países Bajos,Café,93.75,746.16
2018,Mayo,Magdalena,Países Bajos,Café,19.23,67.84
2018,Mayo,Quindío,Países Bajos,Café,124.38,398.10
2018,Mayo,Santander,Países Bajos,Café,118.97,392.24
2018,Mayo,Antioquia,Alemania,Café,1021.10,3208.58
2018,Mayo,Caldas,Alemania,Café,1241.33,4923.98
2018,Mayo,Cauca,Alemania,Café,62.93,190.54
2018,Mayo,Huila,Alemania,Café,1021.75,3150.39
2018,Mayo,Quindío,Alemania,Café,366.20,1171.54
2018,Mayo,Risaralda,Alemania,Café,705.84,2184.83
2018,Mayo,Tolima,Alemania,Café,55.74,285.74
2018,Mayo,Valle del Cauca,Alemania,Café,137.20,493.24
2018,Mayo,Caldas,Arabia Saudita,Café,19.18,62.48
